Fighter_Name,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Height_in,Reach_in,Weight_lbs,Ape_Index,Weight_Class
Nariman Abbasov,Orthodox,1994-02-01,28,4,0,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,68,66.0,155.0,-2.0,Lightweight
Darion Abbey,Orthodox,1993-02-25,9,5,0,8.44,0.5,14.06,0.28,0.0,0.0,0.0,0.0,74,80.0,265.0,6.0,Heavyweight
Hamdy Abdelwahab,Southpaw,1993-01-22,7,1,0,4.27,0.55,3.67,0.51,3.25,0.65,1.0,0.0,74,72.0,265.0,-2.0,Heavyweight
Mansur Abdul-Malik,Orthodox,1997-10-07,9,0,1,4.18,0.48,3.46,0.51,0.94,0.5,0.83,0.5,74,80.0,185.0,6.0,Middleweight
Shamil Abdurakhimov,Orthodox,1981-09-02,20,8,0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,75,76.0,235.0,1.0,Heavyweight
Daichi Abe,Orthodox,1991-11-27,6,2,0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,71,71.0,170.0,0.0,Welterweight
Klidson Abreu,Orthodox,1992-12-24,15,4,0,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,72,74.0,205.0,2.0,Light Heavyweight
John Adajar,Orthodox,1991-06-22,6,2,0,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,69,75.0,170.0,6.0,Welterweight
Juan Adams,Orthodox,1992-01-16,5,3,0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,77,80.0,265.0,3.0,Heavyweight
Anthony Adams,Orthodox,1988-01-13,8,2,0,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,73,76.0,185.0,3.0,Middleweight
Zarrukh Adashev,Southpaw,1992-07-29,4,4,0,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,65,65.0,125.0,0.0,Flyweight
Israel Adesanya,Switch,1989-07-22,24,5,0,4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,76,80.0,185.0,4.0,Middleweight
Mohamed Ado,Switch,2000-05-03,5,1,0,1.66,0.83,0.33,0.75,4.97,0.5,0.5,5.0,71,76.0,170.0,5.0,Welterweight
Mariya Agapova,Southpaw,1997-04-07,10,5,0,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,66,68.0,125.0,2.0,Flyweight
Jessica Aguilar,Orthodox,1982-05-08,20,8,0,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,63,63.0,115.0,0.0,Flyweight
Kevin Aguilar,Orthodox,1988-09-07,17,5,0,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,67,73.0,155.0,6.0,Lightweight
Jesus Aguilar,Orthodox,1996-03-13,12,4,0,2.54,0.38,2.29,0.61,1.52,0.29,0.45,1.1,64,62.0,125.0,-2.0,Flyweight
Christian Aguilera,Switch,1991-11-25,14,8,0,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,69,72.0,170.0,3.0,Welterweight
Nick Aguirre,Southpaw,1996-01-15,7,2,0,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6,69,74.0,135.0,5.0,Bantamweight
